query_point,station_id,name,address,lat,lon,distance_km,connector_types,total_ports,max_power_kw,total_reviews,be6_compatible
route_start,471366,Haridwar (Coming Soon),"H-82, Adhyapak Nagar, Naresh Park Extension, Nangloi, Delhi, 110041, India",28.669903612692863,77.06243623048067,8.527442363705411,CCS2,1,0.0,0,True
route_start,557560,"A2, Commercial Complex Opp Jwala Heri Market","10, Friends Tower, Commercial Complex, A 2B Block, Paschim Vihar, Delhi, 110063, India",28.669176420194066,77.10049141198397,10.340971909554028,CCS2;Type 2,2,0.0,15,True
route_start,306289,TML Autovikas Tata Power FC,"25/1/1, 25/1/1, Shivaji Marg, Block C, Najafgarh Road Industrial Area, New Delhi, Delhi 110015, India",28.663618,77.15619,14.114944294771377,CCS2;CHAdeMO,2,0.0,9,True
route_start,156627,My House,"97289 08957, Barwala, New Delhi, Delhi 110039, India",28.762329,77.06065,18.493277166628076,Type 2,1,0.0,0,True
route_start,1587385,HP DARIYAPUR FILLING STATION,"Ground Floor, Dhansa Road, near Metropolis Met City, Daryapur, Haryana 124105, India",28.56334708748844,76.83976493775845,19.20557554729402,CCS2,1,0.0,0,True
route_destination,557560,"A2, Commercial Complex Opp Jwala Heri Market","10, Friends Tower, Commercial Complex, A 2B Block, Paschim Vihar, Delhi, 110063, India",28.669176420194066,77.10049141198397,12.584752547426016,CCS2;Type 2,2,0.0,15,True
route_destination,306289,TML Autovikas Tata Power FC,"25/1/1, 25/1/1, Shivaji Marg, Block C, Najafgarh Road Industrial Area, New Delhi, Delhi 110015, India",28.663618,77.15619,13.163829561853072,CCS2;CHAdeMO,2,0.0,9,True
route_destination,471366,Haridwar (Coming Soon),"H-82, Adhyapak Nagar, Naresh Park Extension, Nangloi, Delhi, 110041, India",28.669903612692863,77.06243623048067,13.185630410304974,CCS2,1,0.0,0,True
route_destination,391245,PetroMart,"C595+J44, Faridabad - Gurgaon Rd, Balola, Gurugram, Delhi 122102, India",28.418891374393937,77.1574155986309,16.245661817155327,CCS2,2,0.0,4,True
route_destination,967874,h,"C-206, Pandav Nagar, Near Akshardham, Pandav Nagar, Delhi, 110092, India",28.6126735,77.2772619,18.419727875619873,CCS2;GB/T;Type 2,3,0.0,0,True
previous_low_soc_panic_point,471366,Haridwar (Coming Soon),"H-82, Adhyapak Nagar, Naresh Park Extension, Nangloi, Delhi, 110041, India",28.669903612692863,77.06243623048067,10.770172219873139,CCS2,1,0.0,0,True
previous_low_soc_panic_point,557560,"A2, Commercial Complex Opp Jwala Heri Market","10, Friends Tower, Commercial Complex, A 2B Block, Paschim Vihar, Delhi, 110063, India",28.669176420194066,77.10049141198397,11.415708361552632,CCS2;Type 2,2,0.0,15,True
previous_low_soc_panic_point,306289,TML Autovikas Tata Power FC,"25/1/1, 25/1/1, Shivaji Marg, Block C, Najafgarh Road Industrial Area, New Delhi, Delhi 110015, India",28.663618,77.15619,13.81116858419458,CCS2;CHAdeMO,2,0.0,9,True
previous_low_soc_panic_point,391245,PetroMart,"C595+J44, Faridabad - Gurgaon Rd, Balola, Gurugram, Delhi 122102, India",28.418891374393937,77.1574155986309,19.64334990320434,CCS2,2,0.0,4,True
previous_low_soc_panic_point,156627,My House,"97289 08957, Barwala, New Delhi, Delhi 110039, India",28.762329,77.06065,21.043526795483793,Type 2,1,0.0,0,True
